"filiere","diplome","domaine"
"Sciences Mathematiques et Informatique","Licence","IT / Informatique"
"Sciences Mathematiques et Informatique","DEUG","IT / Informatique"
"SMI","Licence","IT / Informatique"
"SMI","DEUG","IT / Informatique"
"Sc Math Info","Licence","IT / Informatique"
"Sc Math Info","DEUG","IT / Informatique"
"sciences maths info","Licence","IT / Informatique"
"sciences maths info","DEUG","IT / Informatique"
"Sciences Math Informatique","Licence","IT / Informatique"
"Sciences Math Informatique","DEUG","IT / Informatique"
"Math Info","Licence","IT / Informatique"
"Math Info","DEUG","IT / Informatique"
"Mathematiques et Informatique","Licence","IT / Informatique"
"Mathematiques et Informatique","DEUG","IT / Informatique"
"Sciences Mathematiques et Applications","Licence","Sciences & Recherche"
"Sciences Mathematiques et Applications","DEUG","Sciences & Recherche"
"SMA","Licence","Sciences & Recherche"
"SMA","DEUG","Sciences & Recherche"
"Sc Math App","Licence","Sciences & Recherche"
"Sc Math App","DEUG","Sciences & Recherche"
"sciences maths appli","Licence","Sciences & Recherche"
"sciences maths appli","DEUG","Sciences & Recherche"
"Mathematiques Appliquees","Licence","Sciences & Recherche"
"Mathematiques Appliquees","DEUG","Sciences & Recherche"
"Math Appliquees","Licence","Sciences & Recherche"
"Math Appliquees","DEUG","Sciences & Recherche"
"Sciences Mathematiques Physique et Informatique","Licence","Sciences & Recherche"
"Sciences Mathematiques Physique et Informatique","DEUST","Sciences & Recherche"
"MIP","Licence","Sciences & Recherche"
"MIP","DEUST","Sciences & Recherche"
"Math Info Physique","Licence","Sciences & Recherche"
"Math Info Physique","DEUST","Sciences & Recherche"
"Mathematiques Informatique Physique","Licence","Sciences & Recherche"
"Mathematiques Informatique Physique","DEUST","Sciences & Recherche"
"MIP FST","Licence","Sciences & Recherche"
"MIP FST","DEUST","Sciences & Recherche"
"Sciences de la Matiere Physique","Licence","Sciences & Recherche"
"Sciences de la Matiere Physique","DEUG","Sciences & Recherche"
"SMP","Licence","Sciences & Recherche"
"SMP","DEUG","Sciences & Recherche"
"Sc Matiere Physique","Licence","Sciences & Recherche"
"Sc Matiere Physique","DEUG","Sciences & Recherche"
"sciences matiere physique","Licence","Sciences & Recherche"
"sciences matiere physique","DEUG","Sciences & Recherche"
"Physique","Licence","Sciences & Recherche"
"Physique","DEUG","Sciences & Recherche"
"Phys","Licence","Sciences & Recherche"
"Phys","DEUG","Sciences & Recherche"
"Sciences de la Matiere Chimie","Licence","Genie Chimique & Materiaux"
"Sciences de la Matiere Chimie","DEUG","Genie Chimique & Materiaux"
"SMC","Licence","Genie Chimique & Materiaux"
"SMC","DEUG","Genie Chimique & Materiaux"
"Sc Matiere Chimie","Licence","Genie Chimique & Materiaux"
"Sc Matiere Chimie","DEUG","Genie Chimique & Materiaux"
"sciences matiere chimie","Licence","Genie Chimique & Materiaux"
"sciences matiere chimie","DEUG","Genie Chimique & Materiaux"
"Chimie","Licence","Genie Chimique & Materiaux"
"Chimie","DEUG","Genie Chimique & Materiaux"
"Chim","Licence","Genie Chimique & Materiaux"
"Chim","DEUG","Genie Chimique & Materiaux"
"Sciences Physiques et Chimie","Licence","Genie Chimique & Materiaux"
"Sciences Physiques et Chimie","DEUG","Genie Chimique & Materiaux"
"SPC","Licence","Genie Chimique & Materiaux"
